groupcd;poscd;anonymouspos;analysis_description_de;analysis_description_fr;analysis_footnote_de;analysis_footnote_fr;analysis_taxnote_de;analysis_taxnote_fr;analysis_limitation_de;analysis_limitation_fr;analysis_list_title_de;analysis_list_title_fr;lab_areas;taxpoints;finding;analysis_permissions_de;analysis_permissions_fr
8003;01;9800.30;Acetylcholinesterase-Isoenzyme;Cholinésterase, iso-enzymes de l’acétyl~;;;;;;;Chemie/Hämatologie/Immunologie;Chimie/Hématologie/Immunologie;C;100;;;
8004;00;;ADP in Thrombozyten;ADP thrombocytaire;;;;;;;Chemie/Hämatologie/Immunologie;Chimie/Hématologie/Immunologie;H;60;;;
8006;00;;Alanin-Aminotransferase (ALAT);Alanine-aminotransférase (ALAT);;;;;;;Chemie/Hämatologie/Immunologie;Chimie/Hématologie/Immunologie;C;9;;{Teilliste 2}:{},{Von Chiropraktoren oder Chiropraktorinnen veranlasste Analysen}:{};{Liste partielle 2}:{},{Analyses prescrites par des chiropraticiens}:{}
8007;00;;Albumin, chemisch;Albumine, chimique;;;;;;;Chemie/Hämatologie/Immunologie;Chimie/Hématologie/Immunologie;C;9;;{Teilliste 2}:{};{Liste partielle 2}:{}
8008;00;;Albumin, immunologisch;Albumine, immunologique;;;;;;;Chemie/Hämatologie/Immunologie;Chimie/Hématologie/Immunologie;C;25;;;
8008;50;;Albumin im Urin, sq;Albumine urinaire, sq;;;;;;;Chemie/Hämatologie/Immunologie;Chimie/Hématologie/Immunologie;C;12;;{Teilliste 2}:{};{Liste partielle 2}:{}
8009;00;;Aldolase;Aldolase;;;;;;;Chemie/Hämatologie/Immunologie;Chimie/Hématologie/Immunologie;C;25;;;
8271;00;;Hämatogramm IV (automatisiert): Hämatogramm III, plus 5 oder mehr Leukozyten-Subpopulationen;Hémogramme IV (automatisé): hémogramme III, plus 5 ou plus de souspopulations de leucocytes;;;;;nicht mit QBC-Methode;pas avec la méthode QBC;Chemie/Hämatologie/Immunologie;Chimie/Hématologie/Immunologie;H;25;;{Hämatologie}:{},{Von Chiropraktoren oder Chiropraktorinnen veranlasste Analysen}:{};{Hématologie}:{},{Analyses prescrites par des chiropraticiens}:{}
8284;01;;Harnstoff, in einer weiteren Körperflüssigkeit;Urée (autre liquide biologique);;;;;;;Chemie/Hämatologie/Immunologie;Chimie/Hématologie/Immunologie;C;9;;;
8286;00;;Human Choriongonadotropin (HCG), qn;Human Choriongonadotropin (HCG) qn;;;;;;;Chemie/Hämatologie/Immunologie;Chimie/Hématologie/Immunologie;C,I;45;;;
8287;00;;HDL-Cholesterin, mit separater Fällung;Cholestérol HDL, avec précipitation séparée;;;;;;;Chemie/Hämatologie/Immunologie;Chimie/Hématologie/Immunologie;C;14;;;
8288;00;;HDL-Cholesterin, ohne separate Fällung;Cholestérol HDL, sans précipitation séparée;;;;;;;Chemie/Hämatologie/Immunologie;Chimie/Hématologie/Immunologie;C;10;;{Teilliste 2}:{};{Liste partielle 2}:{}
8289;00;;HDL-2, HDL-3 - Cholesterin;Cholestérol HDL2, HDL3;;;;;;;Chemie/Hämatologie/Immunologie;Chimie/Hématologie/Immunologie;C;25;;;
8291;00;;Hemmkörper gegen einzelne intrinsische Gerinnungsfaktoren (z. B. F VIII oder F IX/Bethesda-Methode);Inhibiteurs des facteurs intrinsèques de coagulation, pris séparément (p. ex. F VIII ou F IX/méthode de Bethesda);;;;;;;Chemie/Hämatologie/Immunologie;Chimie/Hématologie/Immunologie;H;125;;;
8292;00;;Hemmkörper gegen intrinsisches System, inkl. Antiphospholipid-Antikörper;Inhibiteurs du système intrinsèque, y compris anticorps antiphospholipides;;;;;;;Chemie/Hämatologie/Immunologie;Chimie/Hématologie/Immunologie;H;100;;;
8293;00;;Heparin (Anti-IIabzw. Anti-Xa-Aktivität);Héparine (activité anti-IIa resp. anti-Xa);;;;;;;Chemie/Hämatologie/Immunologie;Chimie/Hématologie/Immunologie;H;50;;;
8294;00;;Heparin Cofaktor II, immunologisch;Héparine, cofacteur II, immunologique;;;;;;;Chemie/Hämatologie/Immunologie;Chimie/Hématologie/Immunologie;H;45;;;
8317;02;;Immunglobulin IgE - monospezifischer Multi-Screeningtest, mindestens sq, mit Unterscheidung einzelner spez. IgE (nicht kumulierbar mit 8317.04);Immunoglobuline IgE - multitest de dépistage monospécifique, au minimum sq, avec différentiation des IgE spécifiques (non cumulable avec 8317.04);;;analog abgestuftem Blocktarif gemäss Punkt 5.7 der Vorbemerkungen, je n ach Anzahl Allergene im verwendeten Testsystem;analogue au tarif échelonné des blocs d'analyses selon point 5.7 des remarques prélimina ires, selon le nombre d'allergènes du test utilisé;;;Chemie/Hämatologie/Immunologie;Chimie/Hématologie/Immunologie;I;45;;{Allergologie und klinische Immunologie}:{};{Allergologie et immunologie clinique}:{}
8516;00;;Schwangerschaftstest (HCG), ql;Test de grossesse (HCG), ql;;;;;;;Chemie/Hämatologie/Immunologie;Chimie/Hématologie/Immunologie;C;12;;{Teilliste 2}:{};{Liste partielle 2}:{}
8517;00;;Sediment: mikroskopische Untersuchung;Sédiment: examen microscopique;;;;;;;Chemie/Hämatologie/Immunologie;Chimie/Hématologie/Immunologie;C;12;;{Teilliste 1}:{};{Liste partielle 1}:{}
8518;00;;Selen, mit AAS;Sélénium, par AAS;;;;;;;Chemie/Hämatologie/Immunologie;Chimie/Hématologie/Immunologie;C;100;;;
8519;00;;Senkungsreaktion, exkl. Blutentnahme;Vitesse de sédimentation (prélèvement sanguin non compris);;;;;;;Chemie/Hämatologie/Immunologie;Chimie/Hématologie/Immunologie;C,H;6;;{Teilliste 1}:{},{Von Chiropraktoren oder Chiropraktorinnen veranlasste Analysen}:{};{Liste partielle 1}:{},{Analyses prescrites par des chiropraticiens}:{}
8520;00;;Serotonin in Thrombozyten;Sérotonine thrombocytaire;;;;;;;Chemie/Hämatologie/Immunologie;Chimie/Hématologie/Immunologie;H;60;;;
8521;00;;Sexualhormonbindendes Globulin (SHBG);Globuline liant les hormones sexuelles, Sex binding protein (SBP);;;;;;;Chemie/Hämatologie/Immunologie;Chimie/Hématologie/Immunologie;C;60;;;
8522;00;;Sichelzell-Test;Test de falciformation;;;;;;;Chemie/Hämatologie/Immunologie;Chimie/Hématologie/Immunologie;H;20;;{Hämatologie}:{};{Hématologie}:{}
8523;00;;Sideroblasten, Färbung und Zählung inkl. Beurteilung;Sidéroblastes, coloration et numération, avec commentaire;;;;;;;Chemie/Hämatologie/Immunologie;Chimie/Hématologie/Immunologie;H;40;;{Hämatologie}:{};{Hématologie}:{}
8524;00;;Somatomedin C (IGF-1);Somatomédine C;;;;;;;Chemie/Hämatologie/Immunologie;Chimie/Hématologie/Immunologie;C;60;;;
8525;00;;Wachstumshormon (HGH, STH);Hormone de croissance (HGH, STH);;;;;;;Chemie/Hämatologie/Immunologie;Chimie/Hématologie/Immunologie;C;80;;;
8590;03;;Vitamin B6 (Direktbestimmung);Vitamine B 6 (pyridoxine), mesure directe;;;;;;;Chemie/Hämatologie/Immunologie;Chimie/Hématologie/Immunologie;C;60;;;
8591;00;;Vitamin C (Ascorbat);Vitamine C (ascorbate);;;;;;;Chemie/Hämatologie/Immunologie;Chimie/Hématologie/Immunologie;C;35;;;
8600;00;;Zellzählung, sowie Differenzierung nach Anreicherung und Färbung von Körperflüssigkeiten;Cellules, numération et différentiation après enrichissement et coloration de liquides biologiques;;;;;;;Chemie/Hämatologie/Immunologie;Chimie/Hématologie/Immunologie;H;25;;{Dermatologie und Venerologie}:{},{Hämatologie}:{},{Physikalische Medizin und Rehabilitation}:{},{Rheumatologie}:{};{Allergologie et immunologie clinique}:{},{Hématologie}:{},{Médecine physique et réadaptation}:{},{Rhumatologie}:{}
9338;00;;Zusätzlicher Nachweis eines bestimmten Keimes (wenn ausdrücklich verlangt);Germe particulier additionnel, recherche (doit être prescrit expressément);;;;;;;Mikrobiologie;Microbiologie;M;20;n;;
9366;00;;Urease-Test (Helicobacter pylori);Uréase, test à l’~ (Helicobacter pylori);Zur Durchführung dieser Analyse ist keine Anerkennung des Bundesamtes für Gesundheit im Sinne des Art. 5 Abs. 1 des Epidemiengesetzes vom 18. Dezember 1970 erforderlich;L'exécution de cette analyse ne nécessite pas de reconnaissance par l'Office fédéral de la santé publique au sens de l'art. 5, al. 1, de la loi sur les épidémies du 18 décembre 1970;;;;;Mikrobiologie;Microbiologie;C,M;15;;{Gastroenterologie}:{};{Gastro-entérologie}:{}
9710;00;;Blutentnahme, Kapillarblut oder Venenpunktion, nur anwendbar durch ärztliches Praxislaboratorium im Rahmen der Präsenzdiagnostik nach Artikel 54 Absatz 1 Buchstabe a KVV und Kapitel 5.1.2 der Analysenliste;Prélèvement de sang capillaire ou de sang veineux, uniquement pour les laboratoires de cabinets médicaux dans le cadre d'un diagnostic en présence du patient au sens de l'art. 54, al. 1, lt. a, OAMal et du chapitre 5.1.2 de la liste des analyses;;;;;gültig ab 1.5.2004 bis 31.12.2005;valable du 1.5.2004 au 31.12.2005;;;;8;;{Teilliste 2}:{};{Liste partielle 2}:{}
